room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
397457,677432,Entire home/apt,,Downtown/Civic Center,7,4.0,4,1.0,218.0,1,37.788637,-122.407993,2013-12-07 17:26:48
398206,40784,Entire home/apt,,West of Twin Peaks,1,3.5,4,2.0,270.0,6,37.740085,-122.445248,2013-12-08 18:49:11
400897,1567910,Entire home/apt,,Financial District,0,,2,1.0,329.0,1,37.789627,-122.406341,2013-12-07 12:56:12
409505,1691929,Entire home/apt,,South of Market,4,5.0,2,1.0,218.0,2,37.780428,-122.389236,2013-12-08 03:58:48
435389,576273,Shared room,,Financial District,2,5.0,1,4.0,27.0,21,37.793243,-122.404433,2013-12-08 04:36:58
435390,576273,Shared room,,Chinatown,1,4.0,1,4.0,27.0,30,37.794553,-122.406003,2013-12-07 23:09:47
435391,576273,Shared room,,Chinatown,2,5.0,1,4.0,27.0,30,37.794782,-122.405917,2013-12-06 22:56:53
461558,2294019,Private room,,Chinatown,22,4.5,1,1.0,76.0,3,37.794322,-122.404905,2013-12-07 02:15:20
461612,103427,Entire home/apt,,Financial District,1,4.5,4,1.0,187.0,1,37.789364,-122.406089,2013-12-07 03:49:46
474001,329072,Shared room,,Chinatown,0,,1,6.0,27.0,1,37.79472,-122.405188,2013-12-07 23:19:37
475528,1314138,Entire home/apt,,Downtown/Civic Center,3,5.0,4,,307.0,1,37.787374,-122.409671,2013-12-07 01:18:04
493889,2439917,Entire home/apt,,Outer Mission,14,4.5,2,1.0,174.0,4,37.730085,-122.441407,2013-12-08 05:08:07
499895,232759,Entire home/apt,,Financial District,6,5.0,2,1.0,219.0,2,37.795864,-122.401216,2013-12-07 22:00:37
524240,1308531,Shared room,,South of Market,1,5.0,4,1.0,493.0,3,37.783559,-122.407322,2013-12-08 15:38:51
542199,2666308,Entire home/apt,,South of Market,7,5.0,4,2.0,274.0,7,37.783454,-122.392856,2013-12-08 01:49:15
545585,2682061,Private room,,North Beach,3,5.0,2,1.0,148.0,1,37.799655,-122.407844,2013-12-08 15:58:12
548806,2698175,Private room,,Chinatown,5,3.5,3,1.0,383.0,1,37.794262,-122.405456,2013-12-07 23:27:46
557626,97769,Entire home/apt,,South of Market,18,5.0,2,1.0,329.0,2,37.784297,-122.391073,2013-12-08 00:10:51
570614,876342,Entire home/apt,,Financial District,15,5.0,2,1.0,186.0,2,37.79726,-122.398005,2013-12-06 22:18:37
602621,2981994,Entire home/apt,,South of Market,22,5.0,2,1.0,466.0,1,37.783179,-122.390781,2013-12-08 00:25:11
616204,2806033,Entire home/apt,,Chinatown,21,5.0,6,3.0,384.0,4,37.795583,-122.409796,2013-12-07 21:09:14
644024,3128331,Entire home/apt,,Financial District,12,5.0,1,1.0,165.0,2,37.79605,-122.399465,2013-12-08 02:13:00
646409,667672,Entire home/apt,,Marina,14,4.5,3,1.0,131.0,4,37.80118,-122.441823,2013-12-22 01:25:10
674547,95558,Entire home/apt,,Financial District,14,5.0,3,1.0,326.0,1,37.791958,-122.393046,2013-12-08 00:09:56
690527,3528025,Private room,,West of Twin Peaks,1,5.0,2,1.0,142.0,1,37.738825,-122.449211,2013-12-07 21:03:11
693840,3302398,Entire home/apt,,South of Market,1,,4,2.0,192.0,180,37.786225,-122.394448,2013-12-08 18:55:58
706159,3627420,Entire home/apt,,South of Market,0,,4,2.0,658.0,14,37.78359,-122.388436,2013-12-08 16:43:19
706504,3631413,Private room,,Outer Mission,10,5.0,2,1.0,121.0,2,37.731058,-122.444961,2013-12-07 23:50:27
720778,2813846,Private room,,Chinatown,6,4.5,1,1.0,106.0,2,37.796007,-122.407072,2013-12-08 18:57:02
720906,2813846,Entire home/apt,,Chinatown,7,4.5,2,1.0,161.0,2,37.794589,-122.405317,2013-12-08 19:27:25
722571,3731851,Entire home/apt,,South of Market,5,5.0,2,1.0,219.0,2,37.784775,-122.393986,2013-12-08 14:03:24
741608,3881849,Entire home/apt,,Downtown/Civic Center,25,4.5,2,1.0,181.0,2,37.78904,-122.410669,2013-12-07 14:31:28
767506,3807182,Entire home/apt,,West of Twin Peaks,11,5.0,6,3.0,273.0,2,37.743867,-122.453747,2013-12-08 19:53:33
786268,3554682,Entire home/apt,,Chinatown,23,4.5,3,1.0,170.0,2,37.793246,-122.406848,2013-12-07 03:33:12
798224,3746729,Private room,,Western Addition,0,,1,5.0,27.0,30,37.777471,-122.439668,2013-11-30 14:39:03
806199,757108,Entire home/apt,,South of Market,0,,3,1.0,207.0,5,37.786659,-122.394292,2013-12-08 19:56:06
816884,149208,Private room,,South of Market,4,4.5,2,2.0,197.0,1,37.786495,-122.391199,2013-12-08 16:03:18
821441,1391481,Entire home/apt,,South of Market,9,5.0,4,1.0,214.0,1,37.781868,-122.391376,2013-12-23 16:20:45
837423,4376170,Entire home/apt,,South of Market,0,,2,1.0,164.0,2,37.783018,-122.391534,2013-12-08 14:01:09
837673,4377684,Entire home/apt,,Outer Mission,4,4.5,3,1.0,165.0,2,37.73221,-122.440743,2013-12-08 02:08:06
838820,4381489,Entire home/apt,,Chinatown,17,4.5,2,1.0,185.0,2,37.79722,-122.40931,2013-12-07 22:14:32
842269,576273,Shared room,,Financial District,1,4.5,1,1.0,27.0,1,37.794767,-122.404564,2013-12-06 22:25:35
859295,4498779,Entire home/apt,,Financial District,11,5.0,2,1.0,109.0,1,37.794294,-122.40123,2013-12-07 17:25:46
